phase,step,agent,avg_episode_len,avg_return,policy_loss,value_loss,entropy,elapsed_s
1,1,shooter,98.90625,23.054687499999986,0.06314852088689804,1.2269541025161743,3.9328958988189697,3.9103591442108154
1,10,shooter,97.6875,23.11562499999998,-0.15562045574188232,0.28951358795166016,3.8041625022888184,32.31819415092468
1,20,shooter,94.15625,23.29218749999998,0.024591898545622826,0.1963375061750412,3.9283711910247803,63.88920831680298
1,30,shooter,83.53125,23.82343749999998,0.01233435794711113,1.2448805570602417,3.6836676597595215,93.41597056388855
1,40,shooter,72.875,24.356249999999978,-0.1490442156791687,0.45434078574180603,3.378848075866699,120.1245448589325
1,50,shooter,68.9375,24.55312499999998,0.01790764182806015,0.21192985773086548,3.478315591812134,145.31633496284485
1,60,shooter,60.0,24.999999999999986,-0.03928098827600479,0.28249162435531616,3.236220359802246,167.95160961151123
1,70,shooter,60.6875,24.96562499999998,-0.023082489147782326,0.28749358654022217,3.2481272220611572,188.3969647884369
1,80,shooter,56.375,25.181249999999984,0.03220405429601669,0.18173502385616302,2.8067569732666016,207.77351808547974
1,90,shooter,55.84375,25.207812499999985,-0.018968122079968452,0.4312939941883087,2.8866353034973145,227.59167909622192
1,100,shooter,54.625,25.268749999999983,-0.00853944756090641,0.2851535677909851,2.8485283851623535,247.13844299316406
1,110,shooter,50.53125,25.47343749999999,-0.12652035057544708,0.24645115435123444,2.3805418014526367,263.3575007915497
1,120,shooter,52.6875,25.365624999999984,0.01584543287754059,0.2084936499595642,2.445582389831543,280.1552731990814
1,130,shooter,48.53125,25.57343749999999,0.0914267972111702,0.48410746455192566,2.354288339614868,296.57585620880127
1,140,shooter,49.8125,25.509374999999984,0.10529009252786636,0.32992592453956604,2.3333821296691895,312.2697684764862
1,150,shooter,49.65625,25.517187499999984,0.04209652170538902,0.24220262467861176,2.2596166133880615,333.9877257347107
1,160,shooter,46.4375,25.678124999999987,0.0033568802755326033,0.2905343770980835,2.1230170726776123,352.9501178264618
1,170,shooter,49.75,25.51249999999999,-0.07660608738660812,0.25023528933525085,2.6139495372772217,373.42634081840515
1,180,shooter,48.6875,25.565624999999983,-0.03576178476214409,0.3435382843017578,2.3886525630950928,394.03296303749084
1,190,shooter,51.53125,25.423437499999984,0.04768164083361626,0.2701568305492401,2.383443832397461,416.0242371559143
1,200,shooter,47.375,25.631249999999987,0.06179328262805939,0.3187645971775055,2.1334967613220215,436.9424660205841
1,210,shooter,51.625,25.418749999999985,-0.14779728651046753,0.29024598002433777,2.1451008319854736,458.8589985370636
1,220,shooter,47.5625,25.621874999999985,0.10781444609165192,0.3018094599246979,2.0605807304382324,482.4607763290405
1,230,shooter,50.03125,25.498437499999984,0.1895761638879776,0.2342647910118103,1.9767042398452759,505.0626440048218
1,240,shooter,48.5,25.574999999999985,-0.032128117978572845,0.5426169633865356,1.8541388511657715,527.3753724098206
1,250,shooter,52.625,25.368749999999984,0.038812123239040375,0.34500956535339355,2.1926448345184326,555.5575680732727
1,260,shooter,46.90625,25.654687499999987,0.009436877444386482,0.7660196423530579,2.0199079513549805,581.2546527385712
1,270,shooter,49.0,25.549999999999983,0.08209347724914551,0.23058398067951202,2.0547282695770264,606.3953189849854
1,280,shooter,44.75,25.76249999999999,0.06022893637418747,0.23510129749774933,1.8728736639022827,627.6985523700714
1,290,shooter,47.6875,25.615624999999987,0.044711824506521225,0.27546262741088867,1.976519227027893,647.3779320716858
1,300,shooter,50.40625,25.479687499999986,0.1857181340456009,0.4393531382083893,1.842461109161377,665.0911407470703
2p,1,placer,5,52.59895833333333,-0.0035661309957504272,0.046613097190856934,4.8214430809021,670.7179927825928
2p,10,placer,5,55.54166666666667,-0.0019654184579849243,0.0592026486992836,4.812886714935303,728.1127772331238
2p,20,placer,5,52.72395833333333,-0.007356858346611261,0.06000041589140892,4.76813268661499,798.1022336483002
2p,30,placer,5,53.880208333333336,-0.03052164614200592,0.07215230911970139,4.578318119049072,857.3820502758026
2p,40,placer,5,57.046875,-0.008806640282273293,0.04942113906145096,4.402926445007324,913.122588634491
2p,50,placer,5,56.979166666666664,-0.008116543292999268,0.0745503306388855,4.107501029968262,979.3003635406494
