phase,step,agent,avg_episode_len,avg_return,policy_loss,value_loss,entropy,elapsed_s
1,1,shooter,97.71875,23.114062499999985,-0.0912649855017662,2.375136137008667,3.836909532546997,3.9875946044921875
1,10,shooter,96.78125,23.16093749999998,0.33942022919654846,0.5226254463195801,3.6127195358276367,31.319337606430054
1,20,shooter,91.65625,23.41718749999998,-0.1943160444498062,0.4078090190887451,3.946103096008301,61.17805790901184
1,30,shooter,82.46875,23.876562499999977,0.006731025874614716,0.19158019125461578,3.6921708583831787,88.45909070968628
1,40,shooter,71.78125,24.41093749999998,0.14058691263198853,1.7053906917572021,3.5885865688323975,111.12224984169006
1,50,shooter,63.28125,24.835937499999982,-0.02698921598494053,0.2993127107620239,3.3379807472229004,131.8380424976349
1,60,shooter,63.4375,24.82812499999998,-0.0004914648598060012,0.25477635860443115,2.9792158603668213,150.5553059577942
1,70,shooter,62.03125,24.898437499999982,-0.04535079002380371,0.2861519455909729,3.1028103828430176,168.47319841384888
1,80,shooter,52.375,25.381249999999987,0.07088243216276169,0.26223519444465637,2.8744959831237793,185.1803638935089
1,90,shooter,50.25,25.487499999999986,-0.11629227548837662,0.3385904133319855,2.796931028366089,201.77960896492004
1,100,shooter,55.09375,25.245312499999983,-0.011037332005798817,0.5819658637046814,2.5891311168670654,218.3148536682129
1,110,shooter,50.75,25.462499999999984,-0.11826390027999878,0.5190408229827881,2.2889323234558105,234.27439785003662
1,120,shooter,52.875,25.356249999999985,-0.06776225566864014,0.2734144330024719,2.5654613971710205,249.78868174552917
1,130,shooter,52.0,25.399999999999988,-0.06527643650770187,0.3699396848678589,2.2417097091674805,264.9455029964447
1,140,shooter,53.625,25.318749999999987,0.0011096675880253315,0.20332731306552887,2.531424045562744,280.206258058548
1,150,shooter,53.5625,25.32187499999998,-0.029577119275927544,0.40730977058410645,2.413313150405884,295.3871431350708
1,160,shooter,48.03125,25.59687499999999,-0.4285595715045929,0.4531566798686981,1.4070249795913696,310.2233729362488
1,170,shooter,50.90625,25.454687499999984,0.009371978230774403,0.17528094351291656,2.3936994075775146,325.5021378993988
1,180,shooter,48.625,25.568749999999987,-0.16092024743556976,0.1980494111776352,2.83076548576355,341.0501003265381
1,190,shooter,47.21875,25.639062499999987,0.18493521213531494,0.19974729418754578,2.2209885120391846,357.56163787841797
1,200,shooter,51.8125,25.409374999999983,-0.06454329937696457,0.3722841143608093,2.228726625442505,373.1967098712921
